Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Plain Napkins,Origami,Origami so-soft-plain-table-top-32-x-32-cm 100 pcs  Pack of 1,TNAP1P100P1,11,85,30,48182000,18%,8906004863578,-,NAPFZPEGJZY4YUYW,40000648,10001523,13809,-,590309860,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami crepe-tissues-printed-2-ply-32-cm-x-32-cm 50 pcs Carton ,CRPTP2P50PC,11,90,36,48182000,18%,8906004862069,-,NAPFZPEGEGBZWDSG,40000649,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami so-soft-plain-luncheon-napkins-32-x-32-cm 50 pcs  ,LCN32CM50PC,11,48,60,48182000,18%,8906004862045,-,-,40000654,-,-,101317,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami 2-ply-printed-napkin-38-x-38-cm 25 pcs  ,DINNPRT25P,10,95,48,48182000,18%,8906004863561,-,NAPFZPEGGAWFDHAA,40000655,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami so-soft-wet-wipes-rose-flavour 10 pulls  ,SSWWROSE10S,11,45,96,33079090,18%,8906004863509,B01KHLTL3I,-,40000657,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami so-soft-wet-wipes-rose-flavour 10 pulls  Pack of 4,SSWWROSE10S4,12,190,96,33079090,18%,8906004863509,-,-,-,-,23713,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,Origami luncheon-napkins-printed-1-ply-32-cm-x-32-cm 50 pcs Pouch ,LCN50S1PPRT,11,54,60,48182000,18%,8906004862052,-,NAPFZPEG9FDZ4GQD,40000660,-,-,-,590308337,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Combos,Origami,Origami party-table-set-combo-pack 25 pcs  ,PARTY25PCOMB,12,95,12,48182000,18%,8906004863318,-,-,40000668,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami printed-paper-plates-poly-coated-230-mm 10 pcs  ,PRTPLATE10S,11,70,80,48182000,18%,8906004863370,-,-,40000669,-,13816,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Paper Cup 150ML 25's Plain,CUPS150ML25S,12,60,84,48236900,18%,8906004863684,-,-,40000672,-,4510,00e79a6b-f33e-470a-aa27-fc8a18652457,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami kitchen-towels-2-ply 1 Roll  ,SSKTSINGLE2P,12,100,36,48182000,18%,8906004864148,-,-,40000675,10151924,-,31a722ec-a975-45a4-bd47-cf7b2bb193e6,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami so-soft-wet-wipes-lemon-flavour 25 pulls  ,SSWWLEM25P,10,95,48,33079090,18%,8906004863462,B091N43ZWD,-,40001279,-,-,-,590309864,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami so-soft-wet-wipes-cologne-flavour 10 pulls  ,SSWWCOL10P,10,45,96,33079090,18%,8906004863547,B00W1SOBEU,-,40001281,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami so-soft-wet-wipes-cologne-flavour 25 pulls  ,SSWWCOL25P,10,95,48,33079090,18%,8906004863769,B01KHKCPGE,-,40001282,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami so-soft-wet-wipes-aloe-vera-flavour 10 pulls  ,SSWWALO10P,10,45,96,33079090,18%,8906004863769,B00W1SOBEU,-,40001284,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Bowls,Origami,Origami paper-bowls-laminated 10 nos Pouch ,PBOWL10SLAM,11,70,40,48236900,18%,8906004863363,-,-,100287531,-,14457,4e006838-adac-46e3-8c1c-ed199922308f,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami klassic-plain-cocktail-napkins-22-x-22-cm 100 pcs  ,KLPLN9IN100S,12,45,100,48182000,18%,8906004862410,-,-,100312960,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Origami FACIAL TISSUES Box, 2ply, 3 in 1, 200 pulls",FT200X32P,9,540,10,48182000,18%,8906004863141,-,FLTFGPZFRGZQTTKR,40258825,-,13814,-,590298155,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Origami FACIAL TISSUE BOX, 100 pulls, 2ply, IDEAL FOR CAR SEAT (DRIVER AND PASSENGER SEAT), EASY TO PLACE AND CONVENIENT FOR USE",FT100S2P1,9,80,4,48182000,18%,8906004866647,B07S67JNPQ,FLTGR9M5DGCZJRGF,40258826,10137810,91644,158045,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,"Origami Wet Wipes - Mildly Perfumed, Refreshing, Soft & Absorbent, Rose Fragrance, 25 Pcs",SSWWROSE25S,11,95,48,33079090,18%,8906004863455,B01KHLTL3I,-,40000671,-,3253,-,590308640,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"ORIGAMI INTERFOLDED PAPER TOWELS, 1ply, 100 pulls",INT1P100P1,10,85,30,48182000,18%,8906004866913,-,-,40258827,-,13811,-,590309859,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"ORIGAMI INTERFOLDED PAPER TOWELS, 1ply, 100 pulls Pack of 30",INT1P100P30,11,"2,550",30,48182000,18%,8906004866913-30,-,-,40258827,-,,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,"Origami Plain White Paper Cups - Disposable, Lightweight, Eco-Friendly, Chemical Free, 150ml, 100 pcs",CUPS150ML100S,13,220,50,48236900,18%,8906004863691,-,-,40258830,-,-,746aba9d-6c79-41b7-8fbc-3ec4c30dca05,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"FACE / FACIAL TISSUES, 3 D THEMED, POP UP TISSUE BOX, 60 pulls 3ply (Assorted DESIGN)",FT3D60P3P,9,160,40,48182000,18%,8906004867170,-,-,40262215,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,"Kitchen Towel Non Woven 1ply, 200 pulls, 2in1",KTNW1P200P1P,12,299,28,56031200,12%,8906004868252,-,-,40262123,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,"Origami Cocktail Napkins - Printed (1 Ply, 220 mm x 220 m 50 pcs Pouch",COCKTAIL50S1P,13,60,100,48182000,18%,8906004862021,-,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,"Origami Cocktail Napkins - Printed (1 Ply, 220 mm x 220 m 50 pcs Pouch",COCKTAIL50S1P-1,15,48,100,48182000,18%,8906004862014,-,-,100312986,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami So Soft - Aloe Vera Wet Wipes 25 pcs,SSWWALO25P,10,95,48,33079090,18%,8906004863745,-,-,301303,10018565,153356,-,590308639,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami Klassic C Fold Towels (73 X 53 cm) 150 pcs,KLACFLD150P,11,120,20,48182000,12%,8906004863226,-,-,40000664,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Godya Toilet Tissue Roll - 2 Ply 200 pulls ((Pack of 4)),GODYA2P200P4P,13,140,24,48181000,18%,8906004861345,-,-,40000673,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,So.Soft (Value Pack) 30 cm x 30 cm 1 Ply - 100 S,ValuePackX100,13,4500,60,48181000,18%,8906004869297,B0C2J4SM9R,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Luxuria Toilet Roll 3 Ply - 4 x 1 (140 Pulls Per roll x 4) Total 560 Pulls,LTR4x1-3Ply,11,3360,12,48181000,18%,8906004869273,B0C2J43VNB,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Eco Range Origami Tissue Roll 10 cm x 9.7cm(140 Pulls X 20) 2 Ply (20 in 1) Total 2800 Pulls,EcoTR20x1,9,4480,8,48181000,18%,8906004869341,B0C2J41LWV,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Cups 200 ml - 50 S (Printed),CupPrinted-50s,14,7200,40,48236900,18%,8906004869433,B0C2J3TWL8,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Origami Tissue Rolls 2 Ply - 10 x 1 (230 Pulls Per roll x 10) Total 2300 Pulls,SSTR10x1,8,3160,8,48181000,18%,8906004869266,B0C2J3RDX4,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami Kitchen Towel 2 Ply - 2 x 1 (60 Pulls Per roll x 2) Total 120 Pulls,SSKT2x1,7,3150,18,48181000,18%,8906004869280,B0C2J3HJDQ,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Eco Range Origami Paper Napkin 20cm x 22cm (50 Serviettes X 24)1 Ply (24 in 1) Total 1200 Serviettes,EcoNap50x24,11,6000,10,48182000,18%,8906004869389,B0C2J35KVY,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,Origami Kitchen Towel Non Woven - 80 Pulls (Single),NW-Single,9,7920,36,56031200,18%,8906004869334,B0C2J32JZN,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Eco Range Origami Tissue Roll 10 cm x 9.7cm (220 Pulls X 12) 2 Ply (12 in 1) Total 2640 Pulls,EcoTR12x1-2Ply,14,4120,8,48181000,18%,8906004869358,B0C2J2W6RN,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 23 cm - 10 S (Printed),Plate23cmX10,12,5600,80,48236900,18%,8906004869419,B0C2J2DZYF,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami Popup 20cm x 10cm -1ply - 100 s,PopupX100,9,3120,48,48181000,18%,8906004869327,B0C2J2DSXV,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,Eco Range Origami Face Tissue 16cm x 20cm (80 Pulls X 6) 2 Ply (6 in 1) Total 480 Pulls,EcoFT80x6,9,3400,8,48182000,18%,8906004869365,B0C2J2DK95,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Eco Range Origami Mini Kitchen Towel 16cm x 20cm (50 Pulls X 6) 2 Ply (6 in 1) Total 300 Pulls,EcoKT6x1,8,1980,6,48181000,18%,8906004869396,B0C2J1ZVP3,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Cups 200 ml - 20 S (Printed),CupPrinted-20s,14,6400,80,48236900,18%,8906004869426,B0C2J1L6WC,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Origami Multi Purpose 21 x 21-1 Ply 100 S,Multipurpose-100,16,4500,100,48181000,18%,8906004869310,B0C2J19Z85,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 19 cm - 10 S (Printed),Plate19cmX10,12,4800,80,48236900,18%,8906004869402,B0C2HZPL89,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,So.Soft Face Tissue 20 cm x 20 cm 2 Ply -Total 400 Pulls (100 x 4),SSFT100x4CS1,12,3750,10,48182000,18%,8906004869259,B0C2HZDXL7,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Eco Range Origami Paper Napkin 27cm x 29cm (80 Serviettes X 12) 1 Ply (12 in 1) Total 960 Serviettes,EcoNap80x12,11,7200,10,48182000,18%,8906004869372,B0C2HYFVN4,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Forks,Origami,Reusable Forks PK-20,FRKRUS20PK,10,120,36,39249090,18%,8906004864452,-,-,-,-,14454,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,Godya Napkin 30cm x 30cm 100's 1 Ply Plain,NPGDYA100S1P,12,75,60,48182000,18%,8906004862311,-,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,"Origami Stay Safe Wet Wipes , 15 cm x 20 cm , 25 Pulls",SFWW25P1PC,10,90,48,33079090,18%,8906004866869,B093T8WS63,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,"Origami Luxuria Kitchen Towel, Single, 300 Pulls, 2 Ply",LKTSINGLE300P,13,350,16,48182000,18%,8906004864223,B07DXQ7LMF,KNRGYDZ4EGHYKTEA,-,-,49955,d9bfc377-2433-40b3-8edc-0c66741a4634,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"So Soft Tissue Roll Single, 340 Pulls, 3 Ply",SSTRSING340P,12,95,48,48181000,18%,8906004861123,-,-,40258828,-,3251,bfeb3549-2928-4957-8ef3-f82f9a37221f,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"Origami Multipurpose Napkins 21cm x 21cm, 100 Serviettes 1 Ply, Plain",MULTINAP100S,12,45,100,48182000,18%,8906004866135,-,NAPGDDYGRQFZ3ZYF,-,-,-,2690a28f-f460-46b2-92a9-f6b3929bf181,590308336,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"So Soft Napkins (Value Pack 100'S) 30cm x 30cm, 100 Serviettes, 1 Ply, Plain",SSVALU100S1P,12,85,60,48182000,18%,8906004861970,-,-,-,10001561,-,-,590308636,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Good Karma,Origami Good Karma Toilet Roll - Single 320 Pulls,GKTRSING320P,12,85,36,48181000,18%,8906004867088,-,-,40242712,-,-,-,590309865,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,"Origami Good Karma Paper Serviettes -50 pull, 2 ply, 32cm*32cm",GKNAP1P50P2,11,85,24,48182000,18%,8906004867064,-,-,40242714,-,-,4e147ee4-c0d0-45f2-b3cd-572d93bd5c05,590309870,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,"Origami Good Karma Paper Serviettes - 100 pull, 1 ply, 30cm*30cm",GKNAP1P100P1,12,80,24,48182000,18%,8906004867071,-,-,40242715,10108091,-,fb5c704b-df5e-4f54-8236-fa97c5484294,590309868,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Paper Cup 150ML 100's Plain,CUP150ML100S,12,220,50,48236900,18%,8906004863691,-,-,40258830,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Cups,Origami,Origami Paper Cup 200ml 20's Printed,CUP200ML20S,11,80,84,48236900,18%,8906004863707,-,-,40000644,-,8701,0911343f-ca3a-4b45-b7c5-50eefd7a1552,590310989,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 19cm 10's Printed,PLATE19CM10S,12,60,80,48236900,18%,8906004863394,-,-,40000646,-,-,0fc92e9b-0a47-4d43-8a97-a4acbef1dd7c,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 19cm 20's Plain,PLATE19CM20S,12,60,60,48236900,18%,8906004863448,-,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Origami Plate 23cm 10's Printed,PLATE23CM10S,12,70,80,48236900,18%,8906004863370,-,-,40000669,-,13816,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,"Origami Paper Plates , 28cm , 25 Pieces , Plain",PLATE28CM25S,12,160,40,48236900,18%,8906004866395,-,-,-,-,39101,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,"Origami Plates 22.5 cm , 200 Pieces , Plain",PLT22.5CM200S,13,580,6,48236900,18%,8906004866791,-,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Combos,Origami,Origami Plates + Napkins / 10 Plates (23cm) + 10 Napkins (32cm) Printed,PLNP10P23CM,11,90,50,48239090,18%,8906004863677,-,-,40000645,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"So Soft Tissue Roll Single, 340 Pulls, 3 Ply Pack of 2",SSTRSING340PS,13,180,48,48181000,18%,8906004861123,-,-,-,-,23196,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Combos,Origami,Origami Plates + Napkins / 10 Plates (28cm) + 10 Napkins (32cm) Printed,PLNP10P28CM,11,95,40,48239090,18%,8906004863387,-,-,-,-,-,-,590310537,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Luxuria Pulp Plate Pack of 5 Plate,BIOPLT5S,8,80,40,48237010,12%,8906004863400,-,-,-,-,-,-,590309869,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Luxuria Pulp Plate Pack of 20 Plates,BIOPLT20S,9,290,12,48237010,12%,8906004865695,-,-,-,-,13813,57f4cb6f-11c6-4f70-aa4b-ca4cf8632bfd,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Paper Plates,Origami,Luxuria Pulp Plate Pack of 50 Plates,BIOPLT50S,9,600,8,48237010,12%,8906004865701,B07DXQFLTX,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Spoons,Origami,Origami Reusable Spoons,8906004862533,13,120,36,39249090,18%,8906004864469,-,-,-,-,14453,efe1c34b-a321-4641-9e41-ed9d689b05ed,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Knifes,Origami,Origami Reusable Knifes,KNIFREUS,8,120,36,39249090,18%,8906004864476,-,-,-,-,14455,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"So soft Tissue Roll Single , 160 Pulls , 3 Ply",SSTRSING160,11,52,96,48181000,18%,8906004861116,-,-,40258829,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami Luxuria Lemon Wet Wipes(10 wipes ),SSWWLEM10S,10,45,96,33079090,18%,8906004863516,B00W1SOBEU,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 2, 100 Pulls, 3 Ply",FTP2P100P3,10,300,14,48182000,18%,8906004865671,B09C3QK557,-,-,-,-,-,600636810,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 2, 100 Pulls, 3 Ply",FTP2P100P_3,11,300,14,48182000,18%,8906004865671,B09C3QK557,FLTH48SYF4TZV7PX,,,,,,,,,,,,,,,
Box Facial Tissues,Origami,"Box Facial Tissues Pack of 6, 100 Pulls, 3 Ply",FTP6P100P3,10,900,5,48182000,18%,8906004865671,B09C3R777J,-,-,-,-,-,600636810,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,Origami Luxuria 3 Ply Face Tissue With 100 Pulls (100 pulls ),FTP1P100P3,10,150,30,48182000,18%,8906004865671,-,-,-,-,-,-,600636810,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami Lavender Wet Wipes - 20Pcs(20 wipes ),LWW20SLAV,9,95,54,33079090,18%,8906004865817,B09TTJ6HLZ,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami Anti Bacterial Wet Wipes - 20Pcs(20 wipes ),LWW20SANTIB,11,95,54,33079090,18%,8906004865855,B0837V6V9M,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Wet Tissues,Origami,Origami Aloe Vera Wet Wipes - 20Pcs(20 wipes ),LWW20SALOVER,12,95,54,33079090,18%,8906004865862,-,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Cotton Pads,Origami,Origami Aloe Vera Wet Wipes - 20Pcs(20 wipes ),OLILYBEL80SQ,12,160,30,48182000,12%,8906004877001,-,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Cotton Pads,Origami,Origami Lily Bell Cotton Pad Rounds,OLILYBEL80RN,12,185,30,48182000,12%,8906004877018,B07S68GX7H,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,Origami So Soft Face Tissue (100Pulls) (1 unit),FTP1P100P2,10,100,48,48182000,18%,8906004863080,,-,40000653,10002601,3250,101022,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,Origami Face Tissue Car Box 2 Ply - 100 Pulls,NEWCFT100S2P,12,320,40,48182000,18%,8906004866647,B07S67JNPQ,-,-,TBD,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Origami Klassic Toilet Roll (320Pulls) (1 unit),KLATR320S1U,11,70,80,48181000,18%,8906004861437,-,TPOFZPFFDKZGR4MP,-,10012695,58538,158039,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Origami Klassic 2 Ply Toilet Roll (320 Pulls) (6 units),KLATR320S6UN,12,365,12,48181000,18%,8906004862540,-,-,-,10012300,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,Origami Klassic Premium Napkins,KLAPRMNAP1S,11,65,60,48182000,18%,8906004862458,-,NAPGDDYGDRFAH2VZ,-,10007805,92949,158040,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Good Karma,Origami Good Karma Face Tissue -100 pull,GKFTP1P100P2,12,100,32,48182000,18%,8906004866906,B08P7KRXK7,-,40242713,10108090,-,-,590309867,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Neem Toothbrush,Good Karma,Origami Good Karma Neem Tooth Brush,GKNTB3PK2,9,510,32,96032100,18%,8906004867989,B09MQSH9P8,-,40242719,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Neem Toothbrush,Good Karma,Origami Good Karma Neem Tooth Brush,GKNTB2PK2B,10,170,32,96032100,18%,8906004867989,-,-,-,10108094,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Neem Toothbrush,Good Karma,Origami Good Karma Neem Tooth Brush,GKNTB2PK2,9,340,32,96032100,18%,8906004867989,B09MLZ2NDH,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Origami Luxuria 4 Ply Toilet Paper / Toilet Roll / Tissue Roll - 13.5 x 9.5 cm - 140 Pulls Per Roll - 2 in 1 - Pack of 3 - 6 Rolls, 840 Pulls",LTR2x1-3Ply3P,13,630,12,48181000,18%,8906004865534,B079WVPJ1S,-,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Good Karma,Origami Good Karma 2 Ply Unbleached Tissue Paper Napkins - Pack of 6-300 Pulls,GKNAP6P50P2-1,13,510,4,48182000,18%,8906004867064,B0B364XWHZ,NAPGQ55TAKS7AG6Z,-,-,-,-,590309870,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,Origami So..Soft Face Tissues 20cm x 20cm 100pulls 2ply pack of 2,FT100SP2P2,10,200,24,48182000,18%,8906004867712,-,FLTFN82PDPXKFHTH,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Designer Napkins,Origami,"Origami Luxuria Party Dinner Napkins, 33cm x 33cm, 3 ply, 20 Printed Napkins, pack of 4, Total 80 Napkins",LTDN33S3S20S,12,380,40,48182000,18%,8906004867835,-,NAPFZPEGGTMQ5YBU,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami Kitchen Towel (2 Rolls in 1) - Pack of 3 - 2 Ply - 60 Sheets per Roll,KT2RP3P2S60,11,570,6,48181000,18%,8906004867798,-,KNRFGQPKZBEGVFRH,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,Origami Non Woven Kitchen Towel (80 Pulls per pack) - Pack of 2 ,NW2P80P,7,440,18,56031200,12%,8906004867750,-,KNRFGPNX6ACXYNTZ,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,Origami So Soft Toilet Roll (4 Rolls in 1) Pack of 2 - 3 Ply - 340 Sheets per Roll,SSTR4X1-2,9,750,6,48181000,18%,8906004861109,-,TPOFGPZF9UDBRHHG,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Non-Woven Kitchen Towel Rolls,Origami,Origami Non Woven Kitchen Towel (80 Pulls per pack) - Pack of 2 ,NW2P80P-1,9,440,18,56031200,12%,8906004867750-1,-,KNRFN82ZXDYXTGSG,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Origami Klassic Toilet Tissue Roll, 2 ply, 180 pulls per roll, pack of 6",KLA6R2P180P,11,215,12,48181000,18%,8906004861468,-,TPOFZPFFEAAVCZBM,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Box Facial Tissues,Origami,Origami So..Soft Face Tissues 20cm x 20cm 200pulls 2ply pack of 2,FT200X2P,8,370,32,48182000,18%,8906004867736,-,FLTFN82PTPGDHHY2,-,-,-,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
