Category,Brand,Ttile,SKU Code,SKU Length,MRP,Case Pack,HSN,GST%,EAN/UPC,ASIN,FSN,BB ID,Blinkit ID,Swiggy ID,Zepto ID,Jiomart Id,Super daily,Margin to RK (ASP),Margin to CRPL (ASP),Margin to Blinkit (MRP),Margin to Swiggy (MRP),Margin to Dunzo (MRP),Margin to Bigbasket (MRP),Margin to Zepto (MRP),Margin to FK Grocery (MRP),Margin to RK Fresh (ASP)
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 6, 160 Pulls, 3 Ply",TRP6P160P3,10,290,16,48181000,18%,8906004861130,B00E3QVP06,TPOFZGCZEYQZW5RH,40000666,10003387,-,104217,590307594,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 6, 160 Pulls, 3 Ply",TTP6P160P3,10,290,16,48181000,18%,8906004861130,B00E3QVP06,TPOFZGCZEYQZW5RH,40000666,10003387,-,9a7cdd91-3d2f-4b30-9219-9c66fd6950d8,590307594,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 24, 160 Pulls, 3 Ply",TRP24P160P3,11,1140,4,48181000,18%,8906004863844,B079YRBGQQ,TPOGPK3WEWFHXBFH,-,-,-,-,590308642,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Toilet Tissue Rolls,Origami,"Toilet Roll Pack of 4, 340 Pulls, 3 Ply",TRP4P340P3,10,375,12,48181000,18%,8906004861147,B00W1SODT8,TPOGPK47RGDGVTYK,101584,10001540,13810,120285,590308641,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,"Kitchen Rolls Pack of 6, 60 Pulls, 2 Ply",KRP6P60P2,9,570,8,48181000,18%,8906004864247,B0936NLJDC,KNRFZUWFG9GZU3TV,267629,-,,-,590308645,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,"Kitchen Rolls Pack of 6, 60 Pulls, 2 Ply",KRP6P60P2,9,570,8,48181000,18%,8906004864247,B0936NLJDC,KNRFPD7EFY5Q9UQF,,,,,,,,,,,,,,,
Kitchen Towel Rolls,Origami,"Kitchen Rolls Pack of 6, 60 Pulls, 2 Ply",ORI-KT-2PLY-2X1-PK3,19,570,8,48181000,18%,8906004864247,B0936NLJDC,KNRGA24EGVXPFWWK,,,,,,,,,,,,,,,
Kitchen Towel Rolls,Origami,"Kitchen Rolls Pack of 2, 50 Pulls, 3 Ply",KRP2P50P3,9,300,16,48181000,18%,8906004865558,B079WWFQDX,KNRGA24EZY7PT4GZ,-,-,23114,124f1c6c-ee24-476d-8ccd-45427eddfef4,600634275,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Kitchen Towel Rolls,Origami,Origami Non Woven Kitchen Towel 80 Pulls and Kitchen Towel Roll - 4 in 1 Pack,KRP2P50P4,9,550,8,48181000,18%,8906004865558,B00NPVV2LC,-,-,-,-,-,600634275,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
Plain Napkins,Origami,"Napkin Pack 8, 100 Pulls, 1 Ply",NAP8P100P1,10,400,60,48182000,18%,8906004862021,B00E3QVVQO,FLTGB5YRYMG9JGYY,40000647,-,71136,-,-,,30%,27%,46%,35.40%,26%,40%,32%,35%,33%
